Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Close,High,Low,Open,Volume
Date,,,,,
1986-03-13,0.05982675403356552,0.06249804106946663,0.05448540868988761,0.05448540868988761,1031788800
1986-03-14,0.06196326017379761,0.06303214305463438,0.05982672313961388,0.05982672313961388,308160000
1986-03-17,0.06303219497203827,0.06356632967053218,0.06196331121079951,0.06196331121079951,133171200
1986-03-18,0.06142912805080414,0.06356627952302976,0.060894993773689295,0.06303214524591491,67766400
1986-03-19,0.060360874980688095,0.061963278223090175,0.05982674056655407,0.06142914380895615,47894400
1986-03-20,0.05875847116112709,0.060360874387789455,0.05822433675223963,0.060360874387789455,58435200
1986-03-21,0.0571560300886631,0.05982670036471903,0.056087761978240724,0.05875843225429666,59990400
1986-03-24,0.055553678423166275,0.05715608204543789,0.055019543882409074,0.05715608204543789,65289600
1986-03-25,0.056621942669153214,0.056621942669153214,0.05501953918372725,0.055553673678869236,32083200
1986-03-26,0.058224327862262726,0.05875846218959593,0.056087790552929936,0.05662192488026314,22752000
1986-03-27,0.05929260328412056,0.05929260328412056,0.05822433450753037,0.05822433450753037,16848000
1986-03-31,0.05875847116112709,0.05929260557001455,0.057690202343352176,0.05929260557001455,12873600
1986-04-01,0.058224327862262726,0.05875846218959593,0.05822432786226273,0.05875846218959593,11088000
1986-04-02,0.05875847116112709,0.059826739978902005,0.05822433675223963,0.05822433675223963,27014400
1986-04-03,0.05929260328412056,0.06089500644900585,0.05929260328412056,0.05929260328412056,23040000
1986-04-04,0.05929260328412056,0.059826737672415656,0.05929260328412056,0.05929260328412056,26582400
1986-04-07,0.058224327862262726,0.05982673084426232,0.05715605920759633,0.05929259651692913,16560000
1986-04-08,0.05875847116112709,0.059826739978902005,0.05822433675223963,0.05822433675223963,10252800
1986-04-09,0.05982675403356552,0.06036088856793331,0.05875848496482994,0.05875848496482994,12153600
1986-04-10,0.060360874980688095,0.06089500939482212,0.058758471738286015,0.05982674056655407,13881600
1986-04-11,0.06142912805080414,0.062498010968800075,0.060894993773689295,0.060894993773689295,17222400
1986-04-14,0.06196326017379761,0.06249800879608845,0.06142912591525168,0.06142912591525168,12153600
1986-04-15,0.06196326017379761,0.061963260173797614,0.05982672313961388,0.061963260173797614,9302400
1986-04-16,0.06410043686628342,0.06463457133560319,0.06142915015569725,0.06196328462501702,31910400
1986-04-17,0.06463455408811569,0.06463455408811569,0.06410041976132766,0.06410041976132766,22003200
1986-04-18,0.062498029321432114,0.06463456705728872,0.0619632805235213,0.06463456705728872,21628800
1986-04-21,0.062498029321432114,0.06303216375539626,0.060895011655593,0.06249802932143212,22924800
1986-04-22,0.06142912805080414,0.062498010968800075,0.06142912805080414,0.062498010968800075,15552000
1986-04-23,0.06169620528817177,0.061963274772770166,0.060895006003986854,0.06142914038837851,15609600
